generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name,api_key_disabled
gen-1786815260-aOKtqUGcTeSskxx3q6wi,2026-08-15 17:34:20.797,0.000386,,-0.002179,,0,20432,387,350,19456,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,stop,stop,3229,1225,OpenCode,M1,false
gen-1786815255-TKVuoPvpocWRjn6bffeT,2026-08-15 17:34:15.065,0.000394,,-0.00215,,0,19631,742,616,19200,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,5502,1222,OpenCode,M1,false
gen-1786815252-wCmtu0n7HAQeqpWZQtSE,2026-08-15 17:34:12.521,0.000349,,-0.002064,,0,19222,307,158,18432,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,2329,1322,OpenCode,M1,false
gen-1786815248-cb4leljBtBQEF92ZDj2q,2026-08-15 17:34:08.422,0.000477,,-0.00172,,0,18518,367,189,15360,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,3890,1117,OpenCode,M1,false
gen-1786815246-kMnhyBHYkc3smz1eGFaz,2026-08-15 17:34:06.547,0.000266,,-0.001662,,0,15404,183,38,14848,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,1650,840,OpenCode,M1,false
gen-1786815243-pblFxKhS0MyiBArcQcp1,2026-08-15 17:34:03.990,0.000281,,-0.001605,,0,15211,181,48,14336,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,2334,1632,OpenCode,M1,false
gen-1786815241-LXVch7l9d93pUs6rBwS0,2026-08-15 17:34:01.995,0.000939,,-0.000229,,0,15062,139,39,2048,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,1672,994,OpenCode,M1,false
gen-1786815240-xGEvNLNxI6Ce3MD2QDnP,2026-08-15 17:34:00.304,0.000856,,-0.000229,,0,13935,94,21,2048,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,1465,1134,OpenCode,M1,false
gen-1786815238-d419rInhtZIt2K9w2sIY,2026-08-15 17:33:58.703,0.0007,,-0.000229,,0,11720,62,14,2048,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,1404,1173,OpenCode,M1,false
gen-1786815238-EhFlR6BI3iuHvVYf8Bwz,2026-08-15 17:33:58.508,0.000087,,-0.000057,,0,859,412,404,512,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,stop,stop,3559,1262,OpenCode,M1,false
gen-1786815219-4q7jOfb9VZloY2zbxbKc,2026-08-15 17:33:39.648,0.000291,,-0.001605,,0,15523,100,35,14336,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,stop,stop,1774,1389,OpenCode,M1,false
gen-1786815217-gMkgcTvArxwRhVtFycRJ,2026-08-15 17:33:37.535,0.000347,,-0.00149,,0,15308,206,47,13312,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,1864,1246,OpenCode,M1,false
gen-1786815215-GOtKiQ6TB1PXjaBBf9ZH,2026-08-15 17:33:35.938,0.0003,,-0.001548,,0,15155,141,18,13824,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,1405,944,OpenCode,M1,false
gen-1786815214-YBw0uCKINWNznwwgkKwe,2026-08-15 17:33:34.056,0.000946,,-0.000057,,0,14041,86,13,512,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,1593,895,OpenCode,M1,false
gen-1786815212-JARLNa5Lo5FYeRQyrxkR,2026-08-15 17:33:31.937,0.000795,,-0.000057,,0,11766,122,76,512,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,1721,1129,OpenCode,M1,false
gen-1786815211-YJECcWXVFJlo1jdmQWov,2026-08-15 17:33:31.206,0.000042,,-0.000086,,0,906,163,155,768,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,stop,stop,1619,687,OpenCode,M1,false
gen-1786815197-5tYmTgaOcWAK0ExP2IcH,2026-08-15 17:33:17.479,0.000934,,-0.006881,,0,62347,212,21,61440,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,stop,stop,2627,1882,OpenCode,M1,false
gen-1786815192-xmHW4LpsleiB5DmcPv7b,2026-08-15 17:33:12.427,0.001056,,-0.006651,,0,61736,592,0,59392,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,4735,1980,OpenCode,M1,false
gen-1786815185-fKcwHs6qyMJPnX3I6DSD,2026-08-15 17:33:05.018,0.001175,,-0.006307,,0,59948,1125,489,56320,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,7026,1506,OpenCode,M1,false
gen-1786815172-dsHIIvx6OUvVnNSzNM4w,2026-08-15 17:32:52.538,0.00114,,-0.006078,,0,56342,1847,1711,54272,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,12202,1556,OpenCode,M1,false
gen-1786815169-WVbPGXXaJh3XdCsE0enz,2026-08-15 17:32:49.498,0.00082,,-0.006049,,0,54491,338,68,54016,deepseek/deepseek-v4-flash-20260731,Baidu,standard,false,true,,tool_calls,tool_calls,2726,1476,OpenCode,M1,false
